Per capita real GDP by state (chained 2009 dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2014,Rank
0,United States,49110,--
11000,District of Columbia,160582,--
38000,North Dakota,66910,1
2000,Alaska,65946,2
56000,Wyoming,64402,3
9000,Connecticut,63642,4
36000,New York,63633,5
25000,Massachusetts,62122,6
10000,Delaware,60806,7
34000,New Jersey,56498,8
53000,Washington,54710,9
6000,California,54196,10
48000,Texas,54055,11
24000,Maryland,53454,12
27000,Minnesota,52970,13
31000,Nebraska,52508,14
8000,Colorado,52167,15
17000,Illinois,51968,16
51000,Virginia,51223,17
41000,Oregon,50568,18
19000,Iowa,49099,19
33000,New Hampshire,49006,20
15000,Hawaii,48914,21
46000,South Dakota,47517,22
44000,Rhode Island,47335,23
42000,Pennsylvania,47215,24
55000,Wisconsin,46114,25
22000,Louisiana,46084,26
39000,Ohio,45131,27
20000,Kansas,44974,28
37000,North Carolina,44017,29
18000,Indiana,43694,30
32000,Nevada,43571,31
49000,Utah,43007,32
13000,Georgia,42959,33
50000,Vermont,42957,34
29000,Missouri,42069,35
40000,Oklahoma,41884,36
26000,Michigan,41788,37
47000,Tennessee,41577,38
35000,New Mexico,39711,39
4000,Arizona,39129,40
21000,Kentucky,38726,41
12000,Florida,38664,42
30000,Montana,38435,43
1000,Alabama,37643,44
23000,Maine,37339,45
5000,Arkansas,36989,46
54000,West Virginia,36350,47
45000,South Carolina,35898,48
16000,Idaho,35081,49
28000,Mississippi,31607,50
92000,Mideast,58063,1
91000,New England,57180,2
98000,Far West,53469,3
96000,Southwest,49611,4
94000,Plains,48398,5
97000,Rocky Mountain,46785,6
93000,Great Lakes,46220,7
95000,Southeast,41184,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
