Gross domestic product (GDP) by state (millions of current dollars),,,
Levels ,,,
Bureau of Economic Analysis ,,,
All industry total,,,
Fips,Area,2011,Rank
0,United States,15406003,--
6000,California,2035315,1
48000,Texas,1352113,2
36000,New York,1230094,3
12000,Florida,737122,4
17000,Illinois,679722,5
42000,Pennsylvania,604350,6
39000,Ohio,521941,7
34000,New Jersey,498845,8
37000,North Carolina,432795,9
51000,Virginia,432022,10
13000,Georgia,421938,11
25000,Massachusetts,412958,12
26000,Michigan,398847,13
53000,Washington,372486,14
24000,Maryland,323204,15
18000,Indiana,290862,16
27000,Minnesota,284778,17
8000,Colorado,266450,18
47000,Tennessee,263998,19
55000,Wisconsin,263316,20
29000,Missouri,257711,21
4000,Arizona,256514,22
22000,Louisiana,241030,23
9000,Connecticut,233027,24
41000,Oregon,199883,25
1000,Alabama,182197,26
21000,Kentucky,172178,27
45000,South Carolina,171124,28
40000,Oklahoma,162196,29
19000,Iowa,149410,30
20000,Kansas,136789,31
49000,Utah,124552,32
32000,Nevada,122836,33
5000,Arkansas,109426,34
11000,District of Columbia,108260,--
31000,Nebraska,99431,35
28000,Mississippi,97202,36
35000,New Mexico,86508,37
54000,West Virginia,69930,38
15000,Hawaii,69747,39
33000,New Hampshire,64243,40
10000,Delaware,59125,41
16000,Idaho,56984,42
2000,Alaska,56759,43
23000,Maine,51571,44
44000,Rhode Island,49906,45
56000,Wyoming,43152,46
46000,South Dakota,42495,47
38000,North Dakota,40870,48
30000,Montana,40200,49
50000,Vermont,27595,50
95000,Southeast,3330961,1
98000,Far West,2857025,2
92000,Mideast,2823878,3
93000,Great Lakes,2154687,4
96000,Southwest,1857332,5
94000,Plains,1011483,6
91000,New England,839300,7
97000,Rocky Mountain,531339,8
Legend / Footnotes:,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,
Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau midyear population estimates available as of December 2014.,,,
"Last updated: December 10, 2015 - revised statistics for 2007-2014 (estimates in current dollars); 1997-2014 (estimates in chained [2009] dollars)",,,
